"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Austria",47.5162,14.5501,2020-01-28,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-29,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-30,0,"confirmed"
"","Austria",47.5162,14.5501,2020-01-31,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-01,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-02,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-03,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-04,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-05,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-06,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-07,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-08,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-09,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-10,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-11,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-12,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-13,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-14,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-15,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-16,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-17,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-18,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-19,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-20,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-21,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-22,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-23,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-24,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-25,2,"confirmed"
"","Austria",47.5162,14.5501,2020-02-26,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-27,1,"confirmed"
"","Austria",47.5162,14.5501,2020-02-28,0,"confirmed"
"","Austria",47.5162,14.5501,2020-02-29,6,"confirmed"
"","Austria",47.5162,14.5501,2020-03-01,5,"confirmed"
"","Austria",47.5162,14.5501,2020-03-02,4,"confirmed"
"","Austria",47.5162,14.5501,2020-03-03,3,"confirmed"
"","Austria",47.5162,14.5501,2020-03-04,8,"confirmed"
"","Austria",47.5162,14.5501,2020-03-05,12,"confirmed"
"","Austria",47.5162,14.5501,2020-03-06,14,"confirmed"
"","Austria",47.5162,14.5501,2020-03-07,24,"confirmed"
"","Austria",47.5162,14.5501,2020-03-08,25,"confirmed"
"","Austria",47.5162,14.5501,2020-03-09,27,"confirmed"
"","Austria",47.5162,14.5501,2020-03-10,51,"confirmed"
"","Austria",47.5162,14.5501,2020-03-11,64,"confirmed"
"","Austria",47.5162,14.5501,2020-03-12,56,"confirmed"
"","Austria",47.5162,14.5501,2020-03-13,202,"confirmed"
"","Austria",47.5162,14.5501,2020-03-14,151,"confirmed"
"","Austria",47.5162,14.5501,2020-03-15,205,"confirmed"
"","Austria",47.5162,14.5501,2020-03-16,158,"confirmed"
"","Austria",47.5162,14.5501,2020-03-17,314,"confirmed"
"","Austria",47.5162,14.5501,2020-03-18,314,"confirmed"
"","Austria",47.5162,14.5501,2020-03-19,367,"confirmed"
"","Austria",47.5162,14.5501,2020-03-20,375,"confirmed"
"","Austria",47.5162,14.5501,2020-03-21,426,"confirmed"
"","Austria",47.5162,14.5501,2020-03-22,768,"confirmed"
"","Austria",47.5162,14.5501,2020-03-23,892,"confirmed"
"","Austria",47.5162,14.5501,2020-03-24,809,"confirmed"
"","Austria",47.5162,14.5501,2020-03-25,305,"confirmed"
"","Austria",47.5162,14.5501,2020-03-26,1321,"confirmed"
"","Austria",47.5162,14.5501,2020-03-27,748,"confirmed"
